time_s,axis1,axis2,axis3,axis4,intake_action,outtake_action,left_cmd,right_cmd,x_in,y_in,heading_deg,auton_section,auton_step
0.520,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.540,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.560,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.580,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.600,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.620,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.640,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.660,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.680,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.700,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.720,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.740,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.760,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.780,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.800,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.820,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.840,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.860,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.880,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.900,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.920,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.940,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.960,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
0.980,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.000,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.020,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.040,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.060,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.080,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.100,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.120,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.140,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.160,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.180,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.200,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.220,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.240,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.260,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.280,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.300,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.320,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.340,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.360,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.380,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.400,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.420,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.440,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.460,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.480,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.500,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.520,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.540,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.560,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.580,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.600,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.620,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.640,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.660,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.680,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.700,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.720,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.740,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.760,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.780,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.800,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.820,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.840,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.860,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.880,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.900,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.920,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.940,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.960,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
1.980,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.000,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.020,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.040,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.060,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.080,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.100,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.120,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.140,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.160,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.180,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.200,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.220,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.240,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.260,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.280,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.300,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.320,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.340,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.360,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.380,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.400,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.420,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.440,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.460,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.480,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.500,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.520,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.540,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.560,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.580,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.600,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.620,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.640,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.660,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.680,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.700,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.720,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.740,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.760,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.780,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.800,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.820,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.840,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.860,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.880,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.900,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.920,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.940,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.960,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
2.980,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.000,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.020,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.040,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.060,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.080,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.100,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.120,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.140,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.160,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.180,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.200,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.220,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.240,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.260,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.280,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.300,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.320,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.340,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.360,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.380,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.400,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.420,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.440,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.460,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.480,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.500,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.520,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.540,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.560,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.580,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.600,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.620,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.640,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.660,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.680,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.700,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.720,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.740,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.760,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.780,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.800,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.820,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.840,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.860,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.880,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.900,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.920,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.940,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.960,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
3.980,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.000,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.020,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.040,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.060,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.080,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.100,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.120,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.140,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.160,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.180,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.200,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.220,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.240,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.260,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.280,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.300,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.320,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.340,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.360,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.380,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.400,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.420,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.440,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.460,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.480,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.500,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.520,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.540,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.560,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.580,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.600,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.620,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.640,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.660,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.680,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.700,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.720,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.740,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.760,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.780,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.800,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.820,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.840,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.860,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.880,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.900,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.920,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.940,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.960,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
4.980,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
5.000,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
5.020,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
5.040,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
5.060,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
5.080,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
5.100,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
5.120,0,0,0,0,OFF,OFF,0,0,72.00,72.00,0.00,MANUAL,MANUAL_DRIVE
